[2026-06-12 17:16:21] === CRAWL START (limit=60) ===
[2026-06-12 17:16:26] Discovered 60 URLs after filtering
[2026-06-12 17:21:02] OK https://fitit.pt/ideias-para-nao-ficares-parado-este-natal/ status=200 type=general scraper=firecrawl chars=4837
[2026-06-12 17:21:06] OK https://fitit.pt/exercicio-fisico-um-aliado-no-combate-a-pneumonia/ status=200 type=general scraper=firecrawl chars=5534
[2026-06-12 17:21:13] OK https://fitit.pt/cinco-conselhos-para-regressar-aos-treinos-apos-o-verao/ status=200 type=general scraper=firecrawl chars=5631
[2026-06-12 17:21:17] OK https://fitit.pt/salada-de-quinoa-e-atum/ status=200 type=general scraper=firecrawl chars=4067
[2026-06-12 17:21:22] OK https://fitit.pt/better-together-treinar-com-amigos-porque/ status=200 type=general scraper=firecrawl chars=6093
[2026-06-12 17:21:27] OK https://fitit.pt/a-fruta-e-toda-saudavel/ status=200 type=general scraper=firecrawl chars=6528
[2026-06-12 17:21:31] OK https://fitit.pt/exercicio-fisico-no-verao-dicas-e-cuidados-a-ter-em-conta/ status=200 type=general scraper=firecrawl chars=5710
[2026-06-12 17:21:35] OK https://fitit.pt/experiencia-fit-it-tomas-guedes/ status=200 type=general scraper=firecrawl chars=4362
[2026-06-12 17:21:39] OK https://fitit.pt/cuidar-do-coracao-nao-e-uma-opcao/ status=200 type=general scraper=firecrawl chars=5205
[2026-06-12 17:21:39] === CRAWL DONE: 60/60 pages, 2 schedule page(s) ===
[2026-06-12 17:46:33] OK https://fitit.pt/mapa-de-aulas/ status=200 type=schedule scraper=firecrawl chars=46356 [SCHEDULE PAGE]
[2026-06-12 17:46:59] OK https://fitit.pt/mapa-de-aulas/ status=200 type=schedule scraper=firecrawl chars=46356 [SCHEDULE PAGE]
